7,1,-4,-27,35,-11,-51,-1
-9,-3,13,59,-33,42,32,20
-7,-22,-36,4,-34,-21,-45,-63
-14,17,5,38,29,30,53,18
18,9,2,-61,-41,-2,5,-43
18,-23,10,10,-38,-20,-45,27
11,7,14,33,28,-3,-4,6
-29,0,3,4,46,-14,-28,-11
-11,13,4,76,-7,41,58,-19
6,30,2,-77,28,40,52,-34
-4,-29,37,37,-62,-39,-35,30
-11,-17,-27,-5,40,-20,-87,-21
3,-11,-5,8,-56,-24,-19,17
-5,14,-6,20,55,35,32,-33
17,1,21,13,-29,-42,-28,76
-17,9,-17,25,7,-83,-45,-24
12,-6,26,-54,-40,43,102,18
-13,-19,-22,-30,-3,-38,-32,-31
-7,7,-12,-27,-20,5,-14,1
22,-1,4,19,18,-15,2,10
-10,4,4,36,29,51,51,6
1,12,-9,-39,-17,-4,-1,11
-11,4,-1,-6,110,5,-21,-53
16,-26,-5,-5,-114,38,-22,13
-24,-2,-10,-11,31,-19,-53,8
44,9,12,5,-37,15,43,9
-6,-11,5,-49,6,-33,-13,-33
-34,25,-10,9,81,43,93,-13
4,2,16,72,-13,-47,-15,26
-19,-19,-57,-22,23,-25,-62,-11
16,-2,-5,-23,8,33,-14,-6
18,-6,30,-3,-71,18,80,13
3,-7,-7,10,3,-29,-31,-18
-17,10,10,52,7,-3,-9,21
-17,1,1,43,24,-5,-56,-17
11,-6,-16,-67,-58,7,25,-24
4,9,-4,95,5,-2,-43,38
10,-14,4,-35,1,-19,-46,-7
-19,-5,-7,19,-31,19,13,-41
10,0,10,13,21,-11,-26,84
2,7,4,-48,23,-15,21,-47
4,2,-2,-39,-4,-38,-24,4
-9,1,14,-28,-51,8,88,-21
12,-3,-11,12,-4,26,1,30
-4,0,4,-56,-18,-39,-55,-44
-4,-9,-1,14,16,7,-14,18
1,2,-18,24,11,12,-2,-2
-9,9,21,-21,-28,-20,-24,-13
-2,8,-21,-18,-20,11,22,29
-3,-23,26,61,-34,8,1,-16
3,7,-2,31,9,-64,-49,-18
12,-16,-30,21,-26,82,74,45
