3,3,-5,-32,-72,-1,7,1
12,13,1,20,-93,13,8,7
-14,-9,2,28,0,7,5,-2
-4,-9,-11,-32,-3,-29,-9,-6
-2,-12,-14,-69,28,-13,-7,-3
-9,-10,2,11,22,10,2,-1
4,10,8,19,-24,-14,1,-1
-11,-5,-4,-45,-85,8,-3,0
1,10,17,11,118,15,8,3
-6,-1,-8,-23,-63,0,-6,-5
5,3,1,10,-59,6,4,3
5,4,-19,-59,-56,-8,-3,-3
-7,-15,-1,-6,-22,-15,-5,-3
2,0,-4,-27,5,-28,-3,0
4,4,1,-1,25,21,2,1
-18,-16,-8,-9,-24,-19,-6,-6
6,-3,-13,-2,-1,21,4,4
-6,-3,-13,-24,-34,-6,-7,-6
-3,-6,-3,19,-26,-33,-4,-2
15,20,49,116,119,82,24,14
-2,3,3,4,-45,-18,-1,-1
-9,-21,-12,-13,31,7,-5,-2
20,18,12,-33,-47,2,1,3
-8,-10,-6,21,65,-20,-10,-7
7,15,14,44,-9,27,21,9
4,-6,-1,26,45,24,-1,-1
-1,-4,-10,-68,-59,-11,0,-1
0,0,-6,39,7,2,0,-1
1,3,-6,-9,15,-10,-12,-5
-6,-15,-11,-10,87,-3,5,-1
-9,-13,-29,-10,28,-43,-18,-8
8,7,1,-90,-95,5,6,6
-2,0,1,43,36,24,2,2
2,8,13,22,-82,1,0,1
-16,-17,-6,27,33,-11,-11,-10
-4,-14,-23,-44,-71,-38,-9,-6
-5,6,17,65,-16,27,8,0
-9,3,11,-31,-91,-17,2,0
8,-10,-5,17,79,49,12,5
3,-2,-3,5,-4,-9,-5,-1
0,-2,6,20,3,-4,-3,1
2,-7,-2,17,-14,1,-3,1
2,-4,1,-54,-51,-2,4,3
4,6,21,88,109,50,3,1
1,3,-7,-69,-91,-33,-1,2
-1,-2,-10,-22,25,-3,-4,-5
3,14,12,52,-82,16,5,4
0,0,-16,-15,-60,-45,-11,-5
-8,2,7,-56,-81,-4,2,0
11,9,7,6,-43,-5,1,0
-6,1,-10,1,47,-14,-7,-5
-7,-4,-2,3,11,22,2,1
9,-3,-12,-79,-96,-61,-12,-5
4,-3,4,-12,-72,-2,2,4
7,11,-2,-17,-72,30,6,6
4,-4,10,6,-47,7,10,2
-2,-9,-9,21,36,-10,-8,-7
4,-1,2,-11,78,3,2,0
13,5,1,19,-33,-11,1,1
-3,-4,-12,-42,-4,-2,-2,0
1,1,3,59,112,16,-4,-5
-4,4,-2,-1,37,3,6,3
-8,-3,3,8,0,0,-4,-3
-1,4,-3,-20,-36,-5,-4,-1
-7,-30,-27,-74,-64,-9,-3,0
-2,-2,6,37,75,-10,-11,-5
5,10,11,48,-4,28,5,-1
0,4,2,-20,70,13,3,1
-2,6,2,-7,-39,-50,-11,-6
-3,-8,0,-14,-85,40,2,-2
-15,-9,-5,-17,89,4,-2,-5
10,2,-2,-17,-72,-11,-9,-3
1,5,9,57,10,4,5,4
-1,-5,-18,-59,-12,-23,-4,-3
-5,-2,14,15,78,29,0,-2
-1,-7,-11,5,-3,-9,-4,-3
8,5,3,-82,-34,17,4,2
-3,2,-8,23,-32,-18,-5,-1
-6,0,-2,-8,12,-17,-4,-2
-12,-18,-15,-42,8,-16,0,-3
13,-5,0,29,-45,-3,-3,2
-1,-2,-5,-19,15,17,1,-3
0,-3,-2,-10,16,-16,-2,-1
-5,3,7,35,64,22,3,1
-7,-2,4,38,54,7,-5,-5
-4,11,8,-16,-31,-8,3,4
-3,-12,-14,27,-61,-42,-14,-7
9,13,21,33,44,19,16,8
-9,-8,-22,25,-21,-1,-16,-11
4,7,8,-39,-24,-19,4,6
-1,1,5,-21,-26,26,7,6
1,1,1,17,7,-9,-7,-3
6,1,10,35,102,59,13,4
7,-2,-10,-23,-85,-11,-7,-5
-11,0,-1,-16,-19,2,2,-3
3,6,3,-14,-4,1,1,0
-5,1,0,-6,60,0,3,-1
-3,-6,0,33,64,20,0,-1
7,3,-8,-37,58,5,-2,-1
-13,6,6,-2,-62,-1,3,3
-3,-4,1,15,27,-13,1,3
-2,-5,-2,37,42,8,-1,-1
0,-3,-2,-13,-15,-18,2,4
-9,-12,-11,-40,2,-10,-7,-4
-5,5,-5,-40,37,-1,-3,-2
-3,-10,-3,-15,-128,-11,0,-1
-2,2,21,96,5,25,0,0
5,9,9,56,-16,-12,2,-1
-4,-2,2,-52,-84,-7,1,1
-14,-8,-17,-8,-75,-17,-5,-2
4,0,1,-8,-105,-7,0,0
-6,5,8,66,60,25,3,-1
-11,-4,-4,21,-10,-18,-3,-3
5,5,4,-5,75,-10,-5,-3
-1,-1,-15,21,-72,-31,-7,-3
-4,-11,-3,-51,-41,-1,-6,-3
22,25,28,0,-102,44,25,17
0,-9,-9,-33,-37,-9,-3,-1
-1,-2,-2,3,40,6,-4,-4
5,-7,-11,-17,-13,-35,-9,-4
-4,-7,-7,36,64,-9,-8,-8
-12,-9,-6,-53,-34,-1,-3,-4
9,5,11,19,32,23,8,5
-2,-5,-4,-29,-65,8,-2,-1
-2,-2,-10,-35,-52,-24,-6,-4
-1,-1,8,99,100,37,4,-1
-1,2,-7,-77,-27,-8,7,7
1,-1,-2,58,-8,-13,-3,-3
-4,-6,-4,19,20,7,-2,1
2,-5,-6,38,1,-13,-8,-4
-8,-4,-7,-64,18,-13,2,-4
7,19,14,12,48,54,13,7
-4,-23,-17,-32,-24,-47,-16,-4
3,9,1,-22,-20,0,5,3
3,-7,-7,-29,-68,-13,-5,-2
-10,-17,-11,6,-59,-25,-11,-4
8,12,8,13,-22,-6,3,1
-14,-5,-12,-20,-31,-34,-14,-10
0,10,13,16,-98,11,6,5
2,-4,-20,-93,-1,-29,-7,-4
-4,-1,9,54,-26,3,-4,-5
-11,-10,-14,-62,-49,-29,-3,-1
8,8,0,6,-25,-7,-3,-1
-8,-6,12,61,97,42,2,0
-13,0,-12,-7,-42,-9,-6,-4
4,3,10,37,125,35,7,4
-8,-10,4,28,-7,-11,-2,-3
4,-10,-18,-99,-112,-29,-4,1
-5,-9,-8,49,79,26,2,-4
-17,-14,-28,-84,-87,-41,-10,-4
15,19,50,68,-38,64,28,15
1,4,0,22,-40,-8,-2,-1
-2,5,0,13,5,-7,-1,-1
9,7,3,-20,-13,-2,-3,-3
-4,-10,-22,-34,33,-18,-11,-7
-3,-1,4,18,-45,1,3,-1
7,9,16,48,7,-4,8,6
-18,-2,-5,-6,-8,33,-6,-10
7,-4,-8,16,35,-27,-9,-2
5,8,6,-20,-41,13,8,3
-10,-18,-15,-31,-19,-1,-5,-5
13,19,13,17,-93,11,4,3
-2,-16,-10,-35,-73,-16,1,4
-5,-10,-11,10,78,-12,-4,-4
5,12,4,-59,-88,2,3,1
7,-8,14,-4,-50,2,6,4
3,7,0,-31,78,30,-1,-4
-4,-6,4,5,-31,-17,-6,-4
1,6,18,56,-29,37,15,8
15,16,10,49,6,-9,4,8
-16,-13,-8,56,42,3,-6,-6
6,1,-7,-50,9,-13,-3,1
-6,-6,-7,-42,17,-17,-7,-5
7,-1,-1,-2,-21,10,4,3
-6,-6,-19,-66,49,-10,-7,-3
-3,-2,3,63,-6,2,4,4
-12,-22,-33,-71,-28,-32,-23,-15
6,10,25,13,36,13,21,19
-7,-11,-13,-23,-41,-20,-10,-9
-1,13,-1,6,-71,15,9,1
-3,4,-2,-6,-4,-11,-7,-2
3,-8,-11,-34,-80,-31,-27,-14
-10,-1,9,-50,33,25,6,-3
0,13,4,68,12,-8,2,4
8,-1,-3,17,-30,-12,-3,-1
0,-1,-4,-6,30,6,-3,-4
1,1,13,10,-44,-13,-8,-4
-10,-9,-2,-17,-24,9,0,-2
-7,-6,-5,-36,-100,-23,0,0
-1,-3,16,127,127,39,12,4
8,7,-10,-53,-81,-26,-1,5
2,5,14,31,70,42,5,0
5,3,-4,-27,10,24,10,6
-10,2,-3,-22,-46,4,-2,-5
-13,-20,-23,-7,101,-24,-6,-6
13,10,16,43,-52,34,16,11
-17,-15,-11,-54,-21,-3,-8,-5
4,9,4,84,60,17,1,-3
-10,-3,-1,-7,-45,3,0,3
-8,-17,-39,-61,20,-38,-26,-18
0,5,18,62,110,-12,7,0
-3,-1,-3,-47,67,40,10,6
15,22,14,-31,-112,-11,-1,3
2,-28,-16,42,113,-11,-12,-6
16,13,20,54,-36,13,7,5
-7,7,5,-55,-48,-3,2,-2
-7,-7,12,107,35,39,4,-1
15,16,27,-17,51,36,17,11
8,2,-3,6,14,-9,-4,0
-15,-13,-10,-30,-32,-21,-4,-3
-14,-7,-8,-9,41,-2,-3,-5
-7,-9,-9,-50,-88,-38,-11,-8
-13,-8,-2,-13,37,21,1,0
-4,-6,-4,31,26,-1,-2,-3
17,-12,-18,-42,-69,-26,-5,2
-6,4,19,32,-2,14,2,-2
-5,-11,-8,-48,30,1,-2,-2
-12,1,-12,-32,21,19,9,4
10,31,24,87,57,17,5,4
0,-15,-11,-8,-40,-9,-4,-5
26,7,-2,-63,-64,-10,-5,-1
-20,-15,-9,-13,-66,-18,-7,-7
-1,1,3,-12,43,15,4,1
4,-1,-3,-36,-87,-47,-12,-6
-12,-8,-19,26,-26,8,3,-1
36,19,40,77,43,-10,0,7
-16,19,-4,-8,57,-4,-1,-2
11,8,-15,-43,-85,-46,-23,-14
-7,16,62,106,-30,86,33,16
-8,-29,-33,-68,-107,-36,-10,-5
