16,10,4,2,30,52,-1,13
-25,-2,1,11,43,15,-17,-31
-91,-2,-4,-20,-57,-12,7,13
18,5,9,17,65,-8,-4,-9
82,-4,-12,-18,-97,-5,12,10
-2,1,4,15,57,-97,36,1
-63,-2,-8,-12,-27,-82,-6,24
29,-1,-3,-5,5,-25,-4,30
-95,6,4,-7,-34,-17,37,-28
94,-7,-8,-34,-36,-55,-54,22
31,2,4,16,-71,-10,-5,-16
-55,-6,-4,-4,-31,-47,-7,12
24,-5,-3,13,-3,-62,-12,-39
-28,-3,-7,-27,-51,72,8,74
52,7,6,-8,37,14,-7,-46
25,-7,-2,13,38,-68,-13,-2
-13,-1,-3,-25,-55,48,4,13
-47,4,6,24,32,68,-11,3
19,-4,-7,-16,2,-54,-3,-1
-106,0,3,24,62,113,23,3
62,3,5,13,62,22,4,0
6,-2,-1,-25,-58,-76,14,-14
14,-15,-12,-22,-108,-65,-66,27
-11,2,3,34,39,17,-12,-70
-38,-4,-6,-15,-25,20,2,-23
45,-3,-3,-14,-9,-6,-19,21
-20,-3,0,21,34,3,9,-31
21,0,-5,-20,-48,-88,-15,-12
-18,4,5,21,73,21,-9,95
18,-5,-6,-9,-34,7,-5,-16
-29,-4,-5,14,41,-48,15,-66
19,2,5,-19,-76,70,-28,20
-11,3,4,25,17,-25,-3,43
-38,-2,1,1,6,-49,9,-24
54,0,-4,-23,-80,5,20,38
-43,-1,-8,0,76,3,3,-14
-53,-3,0,9,41,30,-24,27
28,1,-3,-7,-13,-56,9,-51
-65,-6,3,16,-43,9,9,51
-30,6,7,-4,17,52,14,59
53,-7,-10,-34,-41,5,-9,-116
-6,6,8,39,37,30,0,46
15,-4,-12,-35,5,-25,-11,-15
-16,-5,9,44,62,-50,12,11
5,-2,-1,4,-21,-7,-4,-7
-11,2,0,-8,26,49,12,-18
-38,3,0,0,38,-54,-51,-125
93,0,-5,-29,-43,-79,-16,106
-8,4,6,19,67,-23,-3,-28
-3,-1,-7,-9,-66,-50,-8,-1
20,-4,1,13,88,31,30,67
-9,2,2,15,38,41,3,-54
23,-5,-8,-28,-88,-17,8,10
-36,2,3,10,52,12,-7,26
-99,-6,-13,-21,-30,46,1,-34
111,-6,-7,-30,-126,-100,20,41
-42,3,11,72,53,79,25,17
-75,-4,3,23,22,-55,-3,-61
