-37,-13,-38,-44,19,-21,-40,-46
35,9,16,4,-71,-51,-39,-7
-16,-15,-33,-51,27,47,39,-9
0,6,21,37,-17,7,-42,43
21,7,11,12,-13,-48,55,49
-21,0,-36,-66,6,64,-14,-18
-2,-18,33,85,47,-17,-25,-93
7,9,-4,-21,-61,-6,39,87
1,-6,-14,-31,-8,-36,-50,-49
-56,-20,15,19,23,-41,-84,-96
61,26,-25,-36,-65,86,97,122
-51,-32,8,0,-10,-26,-36,-116
46,25,23,78,11,11,28,8
-32,-9,-18,-44,-56,-16,39,-49
-18,-7,2,8,-24,-37,-84,51
20,11,-4,-4,-18,-56,32,55
-31,-22,-8,-14,45,93,-29,-128
15,14,8,20,-28,9,-21,117
36,13,-15,-54,34,10,39,-95
11,-1,4,33,-3,22,-5,56
-20,-5,-7,-16,-59,-97,-18,-42
5,-9,14,32,53,65,28,86
-14,10,-21,-33,-12,-9,-26,-18
23,0,19,6,-16,6,24,-41
-57,-21,-21,-26,-18,-73,-101,-128
63,15,18,40,-72,-7,67,114
14,19,9,21,64,88,84,-76
-36,-17,-24,-29,3,-29,-34,-105
7,-3,9,9,-11,44,8,76
11,8,-2,-3,-6,-53,32,65
-1,-4,-1,0,49,18,-72,-57
5,7,-1,-10,-17,19,25,-7
-40,-13,-9,-23,-46,-94,-105,-128
24,5,19,26,64,79,93,84
-19,-12,-1,21,7,-9,-34,-13
-16,-1,-10,-17,-31,53,-3,-90
2,1,5,4,63,46,-41,18
4,6,7,-25,14,-77,4,-73
25,-1,19,42,-54,-76,24,82
-2,1,-16,-17,-42,15,-23,-64
-13,7,32,27,89,88,73,2
-9,-6,-30,-15,-32,-89,-71,-128
-10,-9,7,0,7,17,27,93
11,9,4,4,-14,-74,-8,-9
5,-11,-27,-41,-48,34,18,-11
-32,-18,-11,4,115,49,-79,-128
14,5,12,-11,-73,-92,56,88
46,7,-7,0,-5,22,52,107
-30,-10,-13,12,-30,13,-54,-85
30,2,-17,-12,-66,-20,82,114
-54,-20,-13,-16,57,-29,-69,-128
35,25,9,-19,-41,58,19,51
32,10,25,65,-7,-46,14,63
-70,-29,-21,-29,-13,-12,-32,-120
-8,-3,21,14,54,101,-24,79
37,20,-4,-19,19,-4,80,94
-40,-12,17,33,-61,-50,-39,-75
28,15,2,10,-14,-2,34,38
-31,-23,-25,-22,13,-7,-57,-113
13,-2,-4,-22,20,-24,-15,-45
-25,-7,10,14,-16,40,12,34
5,-5,0,-11,14,-2,-10,41
7,16,13,27,-15,-55,0,58
26,2,5,28,-9,34,0,20
16,5,0,-21,21,8,34,-75
-13,2,-10,-20,-56,-12,6,-84
-15,-6,12,-3,-39,73,-102,-47
0,-7,-5,11,65,-21,61,26
-38,-9,9,0,-40,-44,-6,-35
85,22,19,21,40,21,-34,109
9,9,-13,-13,7,-20,36,-117
-39,-13,1,-4,-33,-38,-38,-102
17,0,-19,-36,10,34,-6,17
-13,-8,-14,-12,-94,58,-19,-64
-2,0,-18,-18,73,4,29,-64
-20,-7,31,53,-43,-77,-52,94
19,10,-32,-38,20,72,35,-68
-30,-11,30,58,17,44,46,86
42,18,-12,-4,-3,-1,58,103
-61,-25,-19,-19,-17,-24,-61,-128
21,2,-3,-25,-22,-54,-5,60
44,6,-12,-9,8,-46,-13,17
