-33,2,8,-25,-14,9,16,-27
17,2,-9,-37,-17,5,-4,0
-10,8,12,60,19,-9,-2,-26
15,6,-1,-31,-11,0,0,14
-13,-9,2,10,-23,-22,-4,-14
2,1,-3,-33,-3,0,-2,47
-17,-7,4,-13,3,0,1,-9
5,4,6,37,-21,-20,-6,-9
-4,-14,-22,-11,24,1,-6,-14
11,0,-2,-51,-25,5,-2,0
11,11,21,34,-20,3,9,20
-23,0,1,4,2,-10,-7,5
8,-7,-10,-1,16,-3,-6,-1
-39,-16,-18,-41,14,-12,-2,-36
47,7,0,-33,-19,20,8,34
-21,-6,-1,-11,-31,-7,-2,-26
18,11,12,44,-7,-17,-15,13
-22,6,9,25,27,3,15,-16
-16,-9,-6,-31,3,-15,-1,-18
2,-16,-20,-46,-56,13,1,-6
12,4,6,-20,38,6,-3,27
17,1,4,45,5,-16,-15,1
-39,-14,-4,-17,-4,23,14,6
27,14,5,40,5,0,8,-29
-2,-4,-14,-19,6,15,-11,38
6,-4,-3,-20,-14,0,-3,-4
-28,-2,-1,5,12,-16,-12,-13
6,6,-5,-22,25,4,2,28
20,-4,-8,-11,-23,8,-1,-26
-10,0,13,2,27,0,5,16
-10,-9,-21,-10,-24,10,2,1
11,4,14,-26,15,-5,2,6
-6,1,3,75,-11,4,7,-10
-9,-8,-20,-28,-20,-2,-3,-5
3,-2,0,2,-4,-19,-14,-21
-19,-3,5,35,34,9,13,6
11,11,6,-55,-17,-8,2,12
1,-4,-10,-22,-28,10,-3,1
5,-4,4,29,17,-17,-6,3
-1,5,8,39,1,-5,-4,-5
-13,-5,-1,-36,-15,-5,-4,5
-11,-4,-7,-40,-74,-6,-4,5
11,4,0,48,88,19,3,-28
11,-4,-8,5,2,-2,-1,22
-22,-3,-9,-70,-35,1,2,1
13,7,16,60,-17,-15,-1,-4
-18,-17,-17,0,-53,-7,-2,-10
13,-1,-9,-59,67,-6,0,-9
0,-1,-2,4,5,28,7,-24
-17,0,-11,-38,-2,4,-7,-10
29,7,0,-33,0,-4,3,16
-8,-13,-2,6,-26,-2,-15,26
-10,-7,-16,-31,30,-12,-1,8
2,5,22,36,-2,-8,-8,-15
18,8,5,70,15,19,39,20
-22,-5,-10,-59,-50,-6,-4,-13
5,-16,-12,2,-4,-5,-5,3
-10,-1,-4,-30,40,24,5,2
-7,2,-3,-44,-6,-7,-11,-6
14,13,19,67,-12,-8,-3,7
6,-3,1,122,5,-5,5,-27
7,5,-10,-30,7,-5,-9,-3
-9,3,11,-21,-33,7,-4,18
10,1,-16,-41,-7,11,1,-11
1,-10,5,-5,11,-3,-5,3
-19,-3,3,21,20,-6,5,-28
16,3,6,84,72,10,0,1
-3,-2,10,8,-16,-17,0,-8
-16,-2,-3,-72,-36,1,5,32
23,13,9,55,-3,19,15,-11
0,6,-4,8,-4,-19,-16,15
-11,-15,-11,-48,-7,13,-2,-32
-14,-6,1,5,-14,-13,-8,7
26,7,10,14,16,3,9,28
1,-4,-5,8,8,14,-3,-27
