-33,43,6,11,22,24,-4,40
52,-8,-6,-7,23,-6,-34,-18
25,32,2,-7,-35,14,14,37
-87,-17,-5,2,17,-25,14,-28
-71,-12,1,0,-23,-16,-55,-18
-52,-70,-10,-10,-49,-4,11,32
-34,51,5,4,-2,-3,-2,-46
117,28,-1,-3,22,5,8,86
23,37,2,-1,61,-24,31,42
58,49,1,12,8,-35,0,-52
25,-64,-9,-14,-51,33,-28,65
52,30,-6,-7,-25,29,0,-8
-35,-27,-7,0,5,10,16,-26
2,-51,-4,-9,15,-38,-24,88
25,26,-1,4,-11,-56,3,31
31,48,-4,-3,-1,45,-10,19
-36,22,1,-2,-14,11,-18,56
35,47,11,15,24,-19,45,-57
-50,21,-8,4,8,-7,18,-112
-71,49,0,4,-12,-5,-32,24
-33,-16,2,1,-2,-12,14,-96
35,-1,2,3,18,57,-1,14
9,-93,-8,-2,5,12,-18,-71
33,1,4,9,10,59,14,42
38,-19,-8,-1,-6,-11,-17,-121
15,-68,-7,-9,-8,39,-5,6
77,32,-5,-38,-67,13,32,38
-72,-87,-24,-3,11,-54,-33,-31
72,18,-10,-4,-22,22,-41,118
46,-59,-10,-5,-9,-46,4,-64
69,52,-6,8,38,-67,29,-4
74,-25,-2,-4,-2,-6,-10,-4
26,69,11,9,-22,6,49,-51
-40,36,9,-9,-1,27,-12,44
62,19,20,-2,-5,-32,-12,43
-22,68,-3,5,18,-8,-4,80
107,11,-2,-6,-34,-7,-33,-6
20,-27,-10,1,25,16,-3,-3
31,-12,-8,1,-19,22,-7,59
-16,-83,-7,0,-7,-52,-2,61
82,-15,1,0,-3,29,23,-8
-15,18,11,3,-3,-25,-7,-51
-98,-28,5,6,14,30,-26,-34
116,86,10,2,-1,6,44,6
-127,-41,-8,1,15,-21,-67,-78
74,36,6,-9,-38,11,-8,-26
-2,28,9,18,8,4,32,42
15,-61,-4,1,-32,-15,-26,-60
74,103,11,-12,-16,-20,3,49
-6,59,6,18,11,72,69,75
14,-20,3,3,6,57,24,-122
-21,21,9,-27,-46,15,13,-39
21,-53,-15,-4,19,30,-20,-14
11,-23,-7,-4,13,-16,-17,19
-91,112,3,-1,19,-19,-18,-27
9,-61,-5,10,15,-2,-34,14
33,80,15,-2,-3,25,39,-16
-71,-75,-18,-2,-1,-43,-10,-12
-3,8,0,1,9,27,30,37
-88,-15,-6,3,17,-3,-18,28
56,29,11,3,-16,-12,1,56
53,126,10,-3,-10,6,4,26
45,-128,-26,-9,20,-7,-29,34
77,2,3,0,-7,1,43,-104
75,54,21,20,42,14,45,59
11,41,-8,-2,-49,37,8,62
41,-28,6,5,81,21,39,52
102,55,15,9,-24,-24,-15,-51
0,18,1,1,36,16,-8,-58
-42,17,7,4,-13,-33,10,-16
-66,-54,-30,-5,-34,-4,26,2
9,8,-18,-35,-72,-30,-10,54
-66,6,0,1,72,-5,-2,-78
21,-86,-20,-5,4,-39,-38,-13
-19,91,5,3,-76,-16,-23,6
-128,-52,-20,11,98,24,4,-64
9,48,26,10,-61,-50,19,36
-56,38,-7,2,27,-59,7,-65
33,-38,-7,-24,-90,-19,-12,-57
67,-74,-11,2,17,-23,2,-24
-23,54,-1,-13,-30,-14,-86,-22
25,3,-4,4,8,0,-5,-37
-7,-31,-7,12,59,8,-35,-4
-37,7,10,-7,-116,-10,2,8
-39,-88,-17,-9,9,-8,17,26
37,-8,7,-4,-11,19,2,8
-11,49,-5,-13,-13,-3,-16,32
-43,12,9,6,10,12,-10,-25
12,-64,-8,12,27,28,2,-37
-40,62,5,-5,-25,-3,-15,-4
-68,90,12,0,-6,-49,-4,-76
-24,-26,-30,-8,24,-23,3,-51
79,24,-10,-9,-59,-7,-17,-26
-42,38,4,5,26,6,6,-2
107,50,12,-4,6,25,-43,70
-3,79,15,-15,-62,-6,29,65
-12,-8,0,15,77,24,14,5
-17,-55,-5,5,-17,24,22,29
42,-29,4,16,31,13,10,-43
57,13,14,-17,-30,2,-6,-14
-5,66,-5,-27,-108,-70,-21,-78
51,-46,-2,28,109,25,-31,-26
-5,8,1,1,-51,3,22,5
46,-9,-5,7,6,5,-24,57
63,39,-6,-16,-36,5,36,60
29,-111,-12,-4,-5,11,-4,-30
0,73,6,3,26,-7,-19,-52
-59,78,7,29,51,23,-13,-9
-86,10,-7,-31,-59,-10,-22,10
-45,-18,-6,-14,-41,-9,-2,5
-51,-81,-10,-11,10,13,17,-12
32,-65,-10,7,19,-16,-5,57
-25,-104,-11,23,39,3,0,29
30,59,8,-17,-24,30,5,-97
30,-17,-3,3,19,-52,4,64
-101,112,17,8,30,46,-7,-75
-2,-37,-14,-17,-27,-9,-4,-30
-8,-77,-6,-15,-46,-33,13,-27
-35,24,8,9,5,-12,-5,-18
14,-17,-5,-2,-18,1,64,46
7,-22,4,11,38,58,7,17
11,127,10,-1,-5,26,-29,-38
-72,-42,-28,-11,-16,-9,-16,0
-4,-74,-14,0,36,-42,-23,16
-43,28,18,14,38,22,-6,-9
25,48,3,-6,9,-19,-4,27
23,-33,9,7,16,31,10,12
23,49,0,-12,-31,-33,-16,-64
-90,-46,-3,13,90,-4,-22,49
-71,-16,-4,0,-44,-38,-25,5
9,-55,-15,-14,-41,-10,-3,61
3,56,6,1,-5,21,20,-28
-29,-77,-12,-5,4,-42,4,-38
17,21,8,20,63,10,14,27
-37,-65,-9,-26,-77,-34,-28,-39
1,32,-1,-10,-5,-6,-35,37
-51,-1,-3,-4,-27,17,17,-52
58,52,5,3,14,16,31,59
-5,-76,-19,-10,-14,-14,-14,-85
106,85,4,0,-12,-39,0,-39
87,27,-2,8,6,26,28,13
78,-60,-10,-4,5,-3,-13,10
18,38,12,10,19,4,-3,-7
19,-26,3,-7,-9,12,9,69
-19,36,3,-2,19,-25,-6,-23
51,-11,5,4,-62,-21,13,15
31,28,0,12,28,28,-15,16
-17,-27,-1,-10,-13,-7,-32,-42
90,126,9,0,-1,28,17,7
-83,-76,-22,-5,-30,-4,26,41
-1,68,7,-4,12,16,15,-105
46,21,10,14,48,26,9,-39
52,27,6,-3,-26,31,31,33
-25,51,-5,1,-29,-14,-28,-17
47,44,4,10,23,19,27,-10
-59,-64,-15,-8,-37,-30,-39,-53
3,-2,-2,-20,-24,29,0,-27
-25,-34,7,29,80,1,8,-6
-59,-32,-15,-5,18,-2,-8,6
13,11,5,4,3,-16,23,23
3,-6,-3,-7,-87,9,-21,-47
16,-38,-1,-15,13,-22,24,-87
35,66,3,-3,-41,-6,-9,-3
65,-27,-6,-5,86,30,-2,-5
-94,-106,-31,-1,-28,-57,-48,-7
82,88,13,-2,-3,-4,12,0
24,29,3,-10,-40,-10,34,-76
