-15,-71,-72,-13,-38,-76,-76,-34
-7,-4,-30,-1,26,53,-19,-31
34,83,13,-13,4,-19,12,1
-3,61,8,9,5,-45,68,-5
-8,-49,-39,2,6,-24,69,21
42,29,-5,14,-19,-104,8,-2
8,-63,3,-30,-11,124,90,36
-22,-6,12,14,-15,-83,-99,-54
8,-18,-6,28,-14,-69,6,11
-3,16,9,-38,17,-11,-9,-19
34,23,-5,-14,-5,-56,-27,30
15,2,-15,-5,3,-34,-88,-4
24,47,55,117,-49,37,110,19
-23,-7,76,23,3,24,-38,7
-4,-107,-86,-119,28,34,-1,6
-19,-10,62,10,2,-57,-71,-11
59,74,61,22,23,60,53,37
-13,4,24,38,-34,-118,-41,68
28,40,12,45,-1,-31,-10,-9
65,62,14,-3,-6,62,115,14
-61,-82,-63,-22,25,-57,-95,-57
59,98,11,-12,-33,-37,-21,-25
-6,42,60,7,35,63,-16,12
-49,-85,-92,-41,-4,-60,7,-23
33,10,69,-1,7,-11,-47,-22
27,29,-73,-5,7,127,59,8
-63,21,21,-16,-38,-128,-14,-31
24,120,99,100,-12,-4,-40,0
-33,-40,-36,-93,0,-5,-29,2
-27,-44,-30,-94,22,33,-43,-24
15,32,91,50,-1,-53,-60,61
-19,-35,-97,1,18,22,39,22
-16,61,16,4,-24,65,65,9
14,-39,5,28,-14,4,19,49
57,2,31,-9,-6,-51,-32,-25
53,26,55,41,6,-51,3,4
4,-77,-23,-45,10,-53,-60,25
13,31,13,-14,-5,12,127,-4
41,7,-7,13,6,7,-57,77
30,74,74,15,8,10,4,-5
-36,-88,-85,-6,-7,34,-40,-20
-66,44,43,21,-23,24,-78,-31
4,45,-3,42,13,-3,53,-30
-17,-39,-104,-96,1,43,-40,-12
10,-33,42,12,-7,-38,-10,33
-10,-22,-13,-76,-7,-52,-15,3
-7,21,40,45,-11,55,-30,-33
-14,-42,41,73,28,42,-12,22
-11,15,-4,-68,6,29,-18,-19
-3,-56,31,15,-29,-75,-34,-23
-26,-14,15,-84,-29,32,56,-16
4,-22,35,-1,8,-25,-21,-3
33,78,-1,72,12,-10,31,7
11,6,-52,-7,55,12,-92,-10
-23,-48,-39,10,1,-49,23,5
-38,46,-8,-12,-29,9,56,-8
19,-97,-58,-34,-4,8,-73,-27
-10,66,11,8,-15,78,81,18
24,14,-32,-6,8,27,18,7
-100,16,-29,-12,-5,-88,-118,-4
82,-31,35,-41,-9,-69,28,50
26,26,28,47,9,68,123,43
-17,-69,-22,-21,-15,-6,3,-17
0,9,39,24,11,-45,-29,1
-26,97,-16,33,6,6,75,8
-15,18,-42,-22,-13,-6,-26,-7
-17,-78,10,-1,-1,14,-3,-7
16,7,17,31,19,10,13,-1
-5,33,-32,-32,8,15,-13,-10
1,-60,34,-3,-9,-42,-45,-37
-31,24,-63,-60,18,18,-10,-25
21,-68,-76,-111,-7,-10,19,-3
0,47,61,-3,-28,41,5,-5
-10,22,-21,51,-4,-50,-76,-28
-17,-77,-22,-24,-16,-106,-89,-24
27,-7,37,6,-5,93,74,26
19,105,19,49,25,69,43,7
-5,-60,-93,-40,-35,-26,20,0
-29,6,11,21,-8,-86,-81,-33
-63,-89,-33,-3,4,106,50,54
65,36,46,21,-6,-61,-4,4
37,24,66,34,2,37,-31,-39
11,33,-25,-17,2,4,-3,-6
1,74,-5,-13,-7,-115,-46,-48
-42,-7,1,15,18,82,78,29
35,-73,-8,31,17,-24,-10,36
-12,8,39,13,-42,-53,-57,-13
6,-30,40,0,27,79,32,-21
-6,16,-108,-18,-6,-41,-46,-12
-14,29,27,-34,-6,-28,-2,-10
46,54,35,57,-1,41,81,33
10,3,-2,-107,21,-32,-52,-19
-16,-69,-46,54,-6,0,-48,-13
-7,64,26,29,4,17,-16,4
-8,-44,-12,51,-16,17,76,4
31,25,8,0,-17,-29,-40,-8
-28,11,55,-56,-4,-40,-70,-36
-9,-45,-33,-8,-12,24,4,-18
3,4,45,-10,14,47,25,-9
