47,1,7,-14,23,-2,-11,-6
-95,-14,0,-6,-63,-19,13,-3
9,-14,-12,16,26,2,-22,8
-73,4,14,-17,-22,48,12,1
89,8,-10,38,31,-16,4,5
-26,-4,4,-11,2,0,25,-11
38,4,0,15,-14,-30,-26,-2
-104,-15,2,-29,-29,7,-27,-14
-32,-12,-17,5,-15,-15,2,3
25,5,1,-20,-3,2,-9,6
12,-2,6,-1,22,-3,9,11
-18,-10,-9,18,-5,-29,-3,-10
-85,-4,9,-3,5,-34,-9,-4
120,24,2,18,13,-12,-11,10
-61,-4,-2,-6,-15,19,21,-1
4,-5,-9,-41,-43,-18,-28,7
6,4,11,25,11,-21,-3,-9
33,9,-9,5,31,27,17,16
-55,-1,-14,-26,17,4,-12,0
-18,-17,4,32,12,-18,14,4
-58,4,4,-53,-39,-6,-1,-22
-3,-11,-6,11,24,21,18,22
20,-3,-8,1,-1,10,2,6
5,2,-5,8,21,15,0,-1
37,6,2,-23,-10,-12,3,-7
-120,-6,1,2,-28,-36,9,0
75,3,-7,-28,-32,-3,10,9
-27,-9,-4,24,-2,7,-5,-1
-42,-16,2,7,15,29,-9,-6
61,17,11,-1,19,-5,-12,22
38,11,0,-10,-15,-33,-2,-16
-99,-3,13,3,-4,-16,28,-7
41,2,-24,1,26,3,-12,9
20,-4,2,3,-17,-24,-4,-14
-61,-10,12,13,59,35,-14,-1
47,18,7,-19,-5,7,11,14
-70,-7,-7,26,-4,5,-11,-8
-7,-3,2,-20,23,12,-4,-18
61,10,10,17,8,-3,-8,-8
-3,-2,-13,4,-20,23,-14,-5
-1,-10,0,-17,-49,-13,6,5
-77,-12,-12,10,27,40,-3,-19
44,16,16,11,-2,-1,-4,1
-45,-3,-5,-5,10,-6,16,-13
43,9,-1,3,16,-26,11,8
-55,-13,0,-22,0,20,-28,-14
-15,1,-1,-9,-5,-12,31,17
-35,-1,-1,23,-4,-19,-19,-18
89,15,8,14,-8,-46,18,28
-58,-21,-1,-16,-14,-15,-20,-7
-1,2,-12,8,5,-34,14,3
-10,2,18,6,-5,-4,-21,-9
14,7,12,-4,14,26,-3,-5
-3,-3,-18,20,8,18,35,2
-21,-4,3,-16,-37,-12,1,-6
68,-8,-15,-15,-21,-20,-1,5
68,14,11,1,14,-37,-15,-9
-73,-11,6,11,8,30,-1,-17
63,12,-15,6,-23,35,-10,16
56,5,-2,-2,18,19,-4,-2
27,8,5,3,2,83,0,-3
9,-1,-10,-7,-20,19,2,0
-20,-7,-9,-16,-2,0,2,-5
-52,-12,1,12,-7,4,-7,5
-38,-17,-14,-8,-6,21,5,3
38,15,19,16,32,-32,-18,4
-52,-12,-1,16,13,18,-4,-17
73,9,-5,-22,9,-13,12,-1
-128,-14,-2,-15,-12,-60,14,-13
88,11,-9,-19,-67,-7,-17,3
-38,0,9,26,57,-8,-3,0
76,12,-7,-6,-32,15,-11,6
-44,-4,0,-7,-8,-2,-3,4
-35,-9,-2,-7,-18,-11,-7,-14
44,8,8,-7,-6,12,28,18
-39,-1,-4,-24,17,-15,-3,-4
49,-11,-10,45,-36,-13,-5,-1
-37,13,6,-12,23,-18,-11,0
42,-8,-6,-4,-25,20,16,7
-30,-11,5,26,16,-39,26,20
6,-5,-7,-40,-36,24,0,7
-47,-7,10,9,56,-2,-19,-19
1,2,-16,-21,-33,16,2,-2
